date,engine_temperature,brake_pad_thickness,battery_voltage,tire_pressure_Front_R,tire_pressure_Front_L,tire_pressure_Rear_R,tire_pressure_Rear_L,Engine_oil_level,Brake_Pressure,oil_quality,Days_Since_Engine_Service,Days_Since_BrakePad_Service,Days_Since_Battery_Replacement,Days_Since_Tire_Replacement,Km_Driven_After_Last_Engine_Oil_Change,Km_Driven_After_Last_BrakePad_Change,Km_Driven_After_Last_Tire_Change,Km_Driven_After_Last_Battery_Change,cumulative_mileage,driving_behavior,environmental_condition,RUL_brake_pad,RUL_battery,RUL_oil,RUL_tire,Brake_pad_failure,Engine_oil_Failure,Tire_Failure,Battery_Failure
2024-05-13 14:36:28.270103,77.74845870188355,12.0,12.6,32.0,32.0,32.0,32.0,100.0,3000,100.0,0,0,0,0,0,0,0,0,0,0,0,200,150,100,180,0,0,0,0
2024-05-13 14:36:28.270103,76.49359667487519,12.0,12.6,32.0,32.0,32.0,32.0,100.0,3000,100.0,0,0,0,0,0,0,0,0,0,0,0,200,150,100,180,0,0,0,0
2024-05-13 14:36:28.270103,75.78169010719478,12.0,12.6,32.0,32.0,32.0,32.0,100.0,3000,100.0,0,0,0,0,0,0,0,0,0,0,0,200,150,100,180,0,0,0,0
2024-05-13 14:36:28.270103,75.06224774940584,12.0,12.6,32.0,32.0,32.0,32.0,100.0,3000,100.0,0,0,0,0,0,0,0,0,0,0,1,200,150,100,180,0,0,0,0
2024-05-13 14:36:28.270103,71.5391520878558,12.0,12.6,32.0,32.0,32.0,32.0,100.0,3000,100.0,0,0,0,0,0,0,0,0,0,0,0,200,150,100,180,0,0,0,0
2024-05-14 14:36:28.270103,75.34094875293657,11.9,12.57,31.9,31.9,31.9,31.9,99.8,2994,99.5,1,1,1,1,50,50,50,50,50,1,1,199,149,99,179,0,0,0,0
2024-05-14 14:36:28.270103,71.43882716669974,11.9,12.57,31.9,31.9,31.9,31.9,99.8,2994,99.5,1,1,1,1,50,50,50,50,50,1,0,199,149,99,179,0,0,0,0
2024-05-14 14:36:28.270103,73.77198528965175,11.9,12.57,31.9,31.9,31.9,31.9,99.8,2994,99.5,1,1,1,1,50,50,50,50,50,0,0,199,149,99,179,0,0,0,0
2024-05-14 14:36:28.270103,77.8728276726351,11.9,12.57,31.9,31.9,31.9,31.9,99.8,2994,99.5,1,1,1,1,50,50,50,50,50,1,0,199,149,99,179,0,0,0,0
2024-05-14 14:36:28.270103,73.91320085296094,11.9,12.57,31.9,31.9,31.9,31.9,99.8,2994,99.5,1,1,1,1,50,50,50,50,50,0,1,199,149,99,179,0,0,0,0
2024-05-15 14:36:28.270103,76.9027258069326,11.8,12.54,31.8,31.8,31.8,31.8,99.6,2988,99.0,2,2,2,2,100,100,100,100,100,0,0,198,148,98,178,0,0,0,0
2024-05-15 14:36:28.270103,74.60607132643243,11.8,12.54,31.8,31.8,31.8,31.8,99.6,2988,99.0,2,2,2,2,100,100,100,100,100,0,0,198,148,98,178,0,0,0,0
2024-05-15 14:36:28.270103,73.27205509877619,11.8,12.54,31.8,31.8,31.8,31.8,99.6,2988,99.0,2,2,2,2,100,100,100,100,100,0,0,198,148,98,178,0,0,0,0
2024-05-15 14:36:28.270103,72.51001416111495,11.8,12.54,31.8,31.8,31.8,31.8,99.6,2988,99.0,2,2,2,2,100,100,100,100,100,0,0,198,148,98,178,0,0,0,0
2024-05-15 14:36:28.270103,74.40875719773612,11.8,12.54,31.8,31.8,31.8,31.8,99.6,2988,99.0,2,2,2,2,100,100,100,100,100,2,0,198,148,98,178,0,0,0,0
2024-05-16 14:36:28.270103,77.18877504222176,11.7,12.51,31.7,31.7,31.7,31.7,99.4,2982,98.5,3,3,3,3,150,150,150,150,150,0,0,197,147,97,177,0,0,0,0
2024-05-16 14:36:28.270103,74.61658542098688,11.7,12.51,31.7,31.7,31.7,31.7,99.4,2982,98.5,3,3,3,3,150,150,150,150,150,1,0,197,147,97,177,0,0,0,0
2024-05-16 14:36:28.270103,76.75271774000889,11.7,12.51,31.7,31.7,31.7,31.7,99.4,2982,98.5,3,3,3,3,150,150,150,150,150,0,0,197,147,97,177,0,0,0,0
2024-05-16 14:36:28.270103,76.65871247404057,11.7,12.51,31.7,31.7,31.7,31.7,99.4,2982,98.5,3,3,3,3,150,150,150,150,150,0,0,197,147,97,177,0,0,0,0
2024-05-16 14:36:28.270103,75.1456917359203,11.7,12.51,31.7,31.7,31.7,31.7,99.4,2982,98.5,3,3,3,3,150,150,150,150,150,0,0,197,147,97,177,0,0,0,0
2024-05-17 14:36:28.270103,76.53423230061044,11.6,12.48,31.6,31.6,31.6,31.6,99.2,2976,98.0,4,4,4,4,200,200,200,200,200,0,0,196,146,96,176,0,0,0,0
2024-05-17 14:36:28.270103,75.1466577527411,11.6,12.48,31.6,31.6,31.6,31.6,99.2,2976,98.0,4,4,4,4,200,200,200,200,200,0,0,196,146,96,176,0,0,0,0
2024-05-17 14:36:28.270103,76.45184040743891,11.6,12.48,31.6,31.6,31.6,31.6,99.2,2976,98.0,4,4,4,4,200,200,200,200,200,0,0,196,146,96,176,0,0,0,0
2024-05-17 14:36:28.270103,74.77343915486769,11.6,12.48,31.6,31.6,31.6,31.6,99.2,2976,98.0,4,4,4,4,200,200,200,200,200,0,0,196,146,96,176,0,0,0,0
2024-05-17 14:36:28.270103,75.96784505150285,11.6,12.48,31.6,31.6,31.6,31.6,99.2,2976,98.0,4,4,4,4,200,200,200,200,200,2,0,196,146,96,176,0,0,0,0
2024-05-18 14:36:28.270103,76.1344448467199,11.5,12.45,31.5,31.5,31.5,31.5,99.0,2970,97.5,5,5,5,5,250,250,250,250,250,0,0,195,145,95,175,0,0,0,0
2024-05-18 14:36:28.270103,78.17165776220729,11.5,12.45,31.5,31.5,31.5,31.5,99.0,2970,97.5,5,5,5,5,250,250,250,250,250,1,0,195,145,95,175,0,0,0,0
2024-05-18 14:36:28.270103,76.46830917810418,11.5,12.45,31.5,31.5,31.5,31.5,99.0,2970,97.5,5,5,5,5,250,250,250,250,250,0,0,195,145,95,175,0,0,0,0
2024-05-18 14:36:28.270103,75.98927522521481,11.5,12.45,31.5,31.5,31.5,31.5,99.0,2970,97.5,5,5,5,5,250,250,250,250,250,0,0,195,145,95,175,0,0,0,0
2024-05-18 14:36:28.270103,76.54605020397659,11.5,12.45,31.5,31.5,31.5,31.5,99.0,2970,97.5,5,5,5,5,250,250,250,250,250,0,0,195,145,95,175,0,0,0,0
2024-05-19 14:36:28.270103,76.12825709896575,11.4,12.42,31.4,31.4,31.4,31.4,98.8,2964,97.0,6,6,6,6,300,300,300,300,300,1,1,194,144,94,174,0,0,0,0
2024-05-19 14:36:28.270103,76.71493176411515,11.4,12.42,31.4,31.4,31.4,31.4,98.8,2964,97.0,6,6,6,6,300,300,300,300,300,2,0,194,144,94,174,0,0,0,0
2024-05-19 14:36:28.270103,78.21394689213109,11.4,12.42,31.4,31.4,31.4,31.4,98.8,2964,97.0,6,6,6,6,300,300,300,300,300,0,0,194,144,94,174,0,0,0,0
2024-05-19 14:36:28.270103,77.53094494166658,11.4,12.42,31.4,31.4,31.4,31.4,98.8,2964,97.0,6,6,6,6,300,300,300,300,300,1,0,194,144,94,174,0,0,0,0
2024-05-19 14:36:28.270103,77.54445099250884,11.4,12.42,31.4,31.4,31.4,31.4,98.8,2964,97.0,6,6,6,6,300,300,300,300,300,1,0,194,144,94,174,0,0,0,0
2024-05-20 14:36:28.270103,72.92953341425705,11.3,12.389999999999999,31.3,31.3,31.3,31.3,98.6,2958,96.5,7,7,7,7,350,350,350,350,350,1,0,193,143,93,173,0,0,0,0
2024-05-20 14:36:28.270103,76.33448157208062,11.3,12.389999999999999,31.3,31.3,31.3,31.3,98.6,2958,96.5,7,7,7,7,350,350,350,350,350,0,0,193,143,93,173,0,0,0,0
2024-05-20 14:36:28.270103,77.06399416253544,11.3,12.389999999999999,31.3,31.3,31.3,31.3,98.6,2958,96.5,7,7,7,7,350,350,350,350,350,0,0,193,143,93,173,0,0,0,0
2024-05-20 14:36:28.270103,77.45624188740936,11.3,12.389999999999999,31.3,31.3,31.3,31.3,98.6,2958,96.5,7,7,7,7,350,350,350,350,350,0,0,193,143,93,173,0,0,0,0
2024-05-20 14:36:28.270103,75.85689588870042,11.3,12.389999999999999,31.3,31.3,31.3,31.3,98.6,2958,96.5,7,7,7,7,350,350,350,350,350,2,0,193,143,93,173,0,0,0,0
2024-05-21 14:36:28.270103,73.35584005527636,11.2,12.36,31.2,31.2,31.2,31.2,98.4,2952,96.0,8,8,8,8,400,400,400,400,400,0,0,192,142,92,172,0,0,0,0
2024-05-21 14:36:28.270103,75.50389782287299,11.2,12.36,31.2,31.2,31.2,31.2,98.4,2952,96.0,8,8,8,8,400,400,400,400,400,0,0,192,142,92,172,0,0,0,0
2024-05-21 14:36:28.270103,75.90838758839334,11.2,12.36,31.2,31.2,31.2,31.2,98.4,2952,96.0,8,8,8,8,400,400,400,400,400,0,0,192,142,92,172,0,0,0,0
2024-05-21 14:36:28.270103,77.61295211556187,11.2,12.36,31.2,31.2,31.2,31.2,98.4,2952,96.0,8,8,8,8,400,400,400,400,400,0,0,192,142,92,172,0,0,0,0
