date,engine_temperature,brake_pad_thickness,battery_voltage,tire_pressure,oil_quality,cumulative_mileage,driving_behavior,environmental_condition,RUL_brake_pad,RUL_battery,RUL_oil,RUL_tire
2024-04-28 14:47:15.700055,76.71488704682393,11.98676203552035,12.603857014055865,32.123047941740616,99.7105848841091,0.0,1,1,200,150,100,180
2024-04-28 14:47:15.700055,77.4442633474351,12.003755306469746,12.602267141511302,33.125885052610336,99.35177282226539,0.0,0,0,200,150,100,180
2024-04-28 14:47:15.700055,75.94606845218944,12.014767954797085,12.611352269440209,31.45875427675622,100.48098934981229,0.0,1,0,200,150,100,180
2024-04-28 14:47:15.700055,74.46328461516651,11.99883608705731,12.602727344421966,33.32759128820495,100.26711136469783,0.0,0,0,200,150,100,180
2024-04-28 14:47:15.700055,74.40114081096976,11.990757373282527,12.586140471194136,32.02184992027666,99.90677369090983,0.0,1,0,200,150,100,180
2024-04-29 14:47:15.700055,77.49832622951884,11.963852944598997,12.58642737946284,30.291467647067154,99.14283709395258,30.240952051917994,0,0,199,149,99,179
2024-04-29 14:47:15.700055,75.1915175169674,11.986833078847177,12.599609201974607,31.611065615378816,100.16518747464707,38.926624810134044,0,0,199,149,99,179
2024-04-29 14:47:15.700055,74.04270183913899,11.978092365953602,12.59127645203059,30.762523678794278,99.61359896770455,34.79387882013662,0,0,199,149,99,179
2024-04-29 14:47:15.700055,71.2267620713132,11.961799197984151,12.603222998259605,31.92933811054818,99.16071976230205,26.968959207624724,1,0,199,149,99,179
2024-04-29 14:47:15.700055,75.68759152825024,11.985206308351525,12.623208886114522,29.404778355924048,99.14862895760021,33.042076131781315,1,0,199,149,99,179
2024-04-30 14:47:15.700055,78.39659811428398,11.956128301100035,12.58072994015808,30.811225458313608,99.03751498096992,72.23889735695566,0,0,198,148,98,178
2024-04-30 14:47:15.700055,76.85255493030762,11.970008459112291,12.581658568622153,33.28524218463173,99.22011567911389,62.63138357197721,0,0,198,148,98,178
2024-04-30 14:47:15.700055,73.4794304706318,11.954807516325827,12.59043811520185,31.387489196728716,98.81103199522066,60.22050171269755,0,0,198,148,98,178
2024-04-30 14:47:15.700055,77.91541187297281,11.97131078636517,12.575297856169398,32.74783846176486,98.53615400985608,51.53272745262083,1,0,198,148,98,178
2024-04-30 14:47:15.700055,73.14142707948596,11.973027514892555,12.58933836445706,32.40988148285617,98.2114844260552,59.94503347717243,1,0,198,148,98,178
2024-05-01 14:47:15.700055,73.97929083666638,11.932680554901784,12.564612596919163,30.79668680823859,99.31428767199141,97.59605971966762,0,0,197,147,97,177
2024-05-01 14:47:15.700055,74.32918844763348,11.933421827378057,12.579270946522342,32.986298981868984,97.77644714146446,71.4142954087416,1,0,197,147,97,177
2024-05-01 14:47:15.700055,75.05085790931801,11.94588238267829,12.573163537414567,32.17325985649667,99.3908423434472,110.44890191817163,1,0,197,147,97,177
2024-05-01 14:47:15.700055,78.85704570842846,11.943942403855013,12.588899497614674,30.645449098211923,97.98335321107369,121.94059363269196,0,0,197,147,97,177
